Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Georgia,US,2020-04-29 02:32:29,52,6,0,30.83922642,-83.58303423
Texas,US,2020-04-29 02:32:29,1,0,0,27.03103197,-98.21808402
New York,US,2020-04-29 02:32:29,266,19,0,42.15903158,-75.81326086
Colorado,US,2020-04-29 02:32:29,145,9,0,39.95998787,-105.0566324
Florida,US,2020-04-29 02:32:29,4847,179,0,26.15184651,-80.48725556
Indiana,US,2020-04-29 02:32:29,15,1,0,39.19605589,-86.22868909
Minnesota,US,2020-04-29 02:32:29,8,1,0,44.24205652,-94.72562874
Ohio,US,2020-04-29 02:32:29,11,1,0,38.93416837,-83.86788395
South Dakota,US,2020-04-29 02:32:29,30,0,0,45.58994323,-98.35165355
Texas,US,2020-04-29 02:32:29,34,3,0,31.77430356,-98.99907113
Wisconsin,US,2020-04-29 02:32:29,920,3,0,44.4526553,-88.00411844
South Dakota,US,2020-04-29 02:32:29,0,0,0,43.71756379,-99.08118954
North Carolina,US,2020-04-29 02:32:29,43,2,0,34.070565,-78.22814204
Virginia,US,2020-04-29 02:32:29,13,0,0,36.76366949,-77.8593436
Georgia,US,2020-04-29 02:32:29,49,2,0,32.00979311,-81.44002948
Oklahoma,US,2020-04-29 02:32:29,8,1,0,33.96472458,-96.25903472
Iowa,US,2020-04-29 02:32:29,14,0,0,42.4709188,-91.83510825
Missouri,US,2020-04-29 02:32:29,68,1,0,39.65816401,-94.80138942
Virginia,US,2020-04-29 02:32:29,16,0,0,37.26818323,-82.03749726
Virginia,US,2020-04-29 02:32:29,55,0,0,37.57242268,-78.52518834
Pennsylvania,US,2020-04-29 02:32:29,2675,168,0,40.33682119,-75.10836643
Iowa,US,2020-04-29 02:32:29,4,0,0,42.73545875,-95.15100162
Virginia,US,2020-04-29 02:32:29,5,0,0,37.73484642,-79.35296097
Nebraska,US,2020-04-29 02:32:29,90,1,0,40.85486962,-99.07500296
South Dakota,US,2020-04-29 02:32:29,1,0,0,44.07657829,-99.20814467
Wisconsin,US,2020-04-29 02:32:29,4,1,0,44.37835084,-91.75332578
Kentucky,US,2020-04-29 02:32:29,51,2,0,37.97162523,-85.68955617
Georgia,US,2020-04-29 02:32:29,34,2,0,32.39577406,-81.74811421
Alabama,US,2020-04-29 02:32:29,12,0,0,32.10030533,-85.71265535
North Carolina,US,2020-04-29 02:32:29,55,4,0,35.61113393,-82.53305
Illinois,US,2020-04-29 02:32:29,11,0,0,41.40385234,-89.5283051
Georgia,US,2020-04-29 02:32:29,74,3,0,33.05917989,-81.99928721
North Carolina,US,2020-04-29 02:32:29,89,8,0,35.74989637,-81.70755735
North Dakota,US,2020-04-29 02:32:29,3,0,0,48.79094471,-102.5182117
North Dakota,US,2020-04-29 02:32:29,74,0,0,46.97847375,-100.4645214
Texas,US,2020-04-29 02:32:29,12,0,0,30.49273808,-96.62158484
New Jersey,US,2020-04-29 02:32:29,2543,106,0,39.87681124,-74.66927768
Texas,US,2020-04-29 02:32:29,15,0,0,30.78801353,-98.181887
Nebraska,US,2020-04-29 02:32:29,2,0,0,41.85056773,-96.32605633
Alabama,US,2020-04-29 02:32:29,45,1,0,31.75300095,-86.68057478
Iowa,US,2020-04-29 02:32:29,8,0,0,42.73172833,-92.79015971
